AREOPORTO_PARTENZA,AREOPORTO_ARRIVO,PAESE_PART,ZONA,tot_investigati,tasso_allarme,alert_rate_alb,pct_respinto,pct_segnalato,anomaly_iso,anomaly_lof,anomaly_zscore,anomaly_consensus,n_flags,anomaly_score
man,cia,regno unito,5,18.0,0.1111111111111111,0.11764705882352941,0.16666666666666666,0.3333333333333333,0,0,0,0,0,0.07102844174325988
stn,bri,regno unito,9,24.0,0.25,0.23809523809523808,0.16666666666666666,0.3333333333333333,0,0,0,0,0,0.0692579639863798
tgd,fco,montenegro,5,4.0,0.0,0.0,0.0,0.3333333333333333,0,0,0,0,0,0.0682870174129535
hkg,mxp,hong kong,2,3.0,0.3333333333333333,0.0,0.5,0.5,0,0,0,0,0,0.06499117832335642
skp,mxp,macedonia,2,13.0,0.23076923076923078,0.23076923076923078,0.5,0.125,0,0,0,0,1,0.06450635771470968
kut,mxp,georgia,2,6.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0,0,0,0,0,0.06367552622704256
tng,bgy,marocco,2,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.06221265341386286
mle,fco,maldive,5,10.0,0.2,0.2,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0.062170711453338655
tia,lin,albania,2,7.0,0.14285714285714285,0.14285714285714285,0.0,0.25,0,0,0,0,0,0.06151391133685164
kiv,blq,moldavia,8,2.0,0.5,0.5,0.5,0.0,0,0,0,0,0,0.060785088550815124
dwc,mxp,emirati arabi uniti,2,3.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,0,0,0,0.060719892008487326
stn,bds,regno unito,9,4.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0.05788566048870498
hnd,fco,giappone,5,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.05570128889703391
stn,peg,regno unito,5,24.0,0.125,0.13043478260869565,0.0,0.23076923076923078,0,0,0,0,0,0.050804905838252035
stn,goa,regno unito,1,39.0,0.07692307692307693,0.07894736842105263,0.3125,0.125,0,0,0,0,0,0.05069257746924488
man,trn,regno unito,1,3.0,0.3333333333333333,0.3333333333333333,0.0,0.5,0,0,0,0,0,0.05031272312147599
