OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR,CITTA_PARTENZA,PAESE_PART,ZONA,TOT,MOTIVO_ALLARME,note_operatore,flag_rischio
voli solo visualizzati,fco,del,2024-02-01 03:45:00,roma,nuova delhi,india,,1,manuale,,
voli disponibili,nap,ssh,2024-01-07 16:50:00,napoli,sharm el sheikh,egitto,6,1,interpol,,
voli disponibili,blq,saw,2024-02-29 11:30:00,bologna,istanbul,turchia,8,1,interpol,,
viaggiatori entrati,blq,lhr,2024-02-10 13:55:00,bologna,londra,regno unito,8,181,nsis,,
voli disponibili,fco,auh,2024-01-27 14:40:00,roma,abu dhabi,emirati arabi uniti,5,1,,,
voli investigati,bgy,tia,2024-01-12 06:10:00,bergamo,tirana,albania,2,,tsc,,
voli investigati,cta,ssh,2024-01-19 12:05:00,catania,sharm el sheikh,egitto,7,1,,,
voli solo visualizzati,mxp,tia,2024-01-06 19:50:00,milano,tirana,albania,2,1,nsis,,
viaggiatori con allarmi,fco,stn,2024-02-26 09:10:00,roma,londra,regno unito,5,2,tsc,,
allarmi generati,mxp,auh,2024-02-28 14:45:00,milano,abu dhabi,emirati arabi uniti,2,37,interpol,,
viaggiatori investigati,peg,tia,2024-01-14 08:00:00,perugia,tirana,albania,5,106,tsc,,
voli disponibili,mxp,ltn,2024-02-09 17:30:00,milano,londra,regno unito,2,1,sdi,,
esito negativo,fco,spx,2024-02-29 00:00:00,roma,giza,egitto,5,27,interpol,,
viaggiatori entrati,bgy,man,2024-02-28 16:25:00,bergamo,manchester,regno unito,2,188,,,
voli disponibili,mxp,icn,2024-02-14 12:10:00,milano,seoul,corea del sud,2,1,sdi,,
viaggiatori entrati,mxp,jfk,2024-02-26 22:20:00,milano,new york,stati uniti,2,211,,,
viaggiatori investigati,mxp,cmn,2024-01-31 13:00:00,milano,casablanca,marocco,2,135,,,
voli con allarmi,vce,stn,2024-01-27 07:55:00,venezia,londra,regno unito,4,1,,,
voli investigati,mxp,jfk,2024-01-01 00:00:00,milano,new york,stati uniti,2,1,interpol,,
allarmi chiusi,fco,doh,2024-01-08 09:15:00,roma,doha,qatar,5,8,manuale,,
viaggiatori con allarmi,bri,ist,2024-01-28 19:25:00,bari,istanbul,turchia,9,9,tsc,,
voli disponibili,mxp,kwi,2024-01-16 08:25:00,milano,kuwait city,kuwait,2,1,interpol,,
voli solo visualizzati,fco,dmm,2024-02-03 20:40:00,roma,dammam,arabia saudita,5,1,nsis,,
esito negativo,bgy,edi,2024-01-08 06:45:00,bergamo,edinburgh,regno unito,2,4,,,
allarmi generati,blq,stn,2024-01-17 18:20:00,bologna,londra,regno unito,8,11,manuale,,
voli disponibili,fco,alg,2024-01-13 10:30:00,roma,algeri,algeria,5,2,sdi,,
voli solo visualizzati,mxp,doh,2024-02-25 02:20:00,milano,doha,qatar,2,1,,,
voli disponibili,lin,lhr,2024-01-03 18:30:00,milano,londra,regno unito,2,1,nsis,,
voli investigati,trn,rak,2024-02-20 05:45:00,torino,marrakech,marocco,1,,sdi,,
voli con allarmi,nap,stn,2024-02-03 17:30:00,napoli,londra,regno unito,6,1,,,
voli con allarmi,bgy,saw,2024-01-27 11:10:00,bergamo,istanbul,turchia,2,1,manuale,,
allarmi generati,fco,beg,2024-01-07 06:10:00,roma,belgrado,serbia,5,4,nsis,,
voli solo visualizzati,cta,tia,2024-01-04 11:50:00,catania,tirana,albania,7,1,interpol,,
voli solo visualizzati,fco,lgw,2024-02-07 06:45:00,roma,londra,regno unito,5,,,alert manuale,
viaggiatori investigati,mxp,ist,2024-01-14 08:40:00,milano,istanbul,turchia,2,174,nsis,,
viaggiatori investigati,bri,tia,2024-02-01 00:00:00,bari,tirana,albania,9,144,,,
voli con allarmi,cta,cmn,2024-02-28 00:00:00,catania,casablanca,marocco,7,,tsc,,
allarmi chiusi,fco,ist,2024-02-26 13:05:00,roma,istanbul,turchia,5,16,interpol,,
voli disponibili,cia,rak,2024-02-13 06:15:00,roma,marrakech,marocco,5,1,tsc,,
voli disponibili,mxp,jfk,2024-01-18 17:00:00,milano,new york,stati uniti,2,1,nsis,,
viaggiatori con allarmi,vce,stn,2024-02-24 20:15:00,venezia,londra,regno unito,4,3,manuale,,
viaggiatori investigati,fco,atl,2024-01-30 20:10:00,roma,atlanta,stati uniti,5,243,,,
voli investigati,aoi,stn,2024-01-15 18:25:00,ancona,londra,regno unito,8,1,,,
viaggiatori con allarmi,bri,tia,2024-02-25 11:35:00,bari,tirana,albania,9,10,tsc,,
allarmi chiusi,mxp,ssh,2024-02-27 14:05:00,milano,sharm el sheikh,egitto,2,10,nsis,,
voli solo visualizzati,fco,doh,2024-02-01 15:35:00,roma,doha,qatar,5,1,,,
allarmi generati,mxp,ssh,2024-01-06 00:00:00,milano,sharm el sheikh,egitto,2,19,manuale,,
allarmi generati,cta,tia,2024-01-10 13:25:00,catania,tirana,albania,7,14,manuale,,
voli solo visualizzati,mxp,ssh,2024-02-25 13:10:00,milano,sharm el sheikh,egitto,2,1,sdi,,
viaggiatori entrati,trn,tia,2024-01-31 07:10:00,torino,tirana,albania,1,183,tsc,,
viaggiatori entrati,lin,lhr,2024-01-30 06:45:00,milano,londra,regno unito,2,55,,,
voli con allarmi,fco,lgw,2024-02-13 09:20:00,roma,londra,regno unito,5,1,sdi,,
viaggiatori entrati,mxp,mct,2024-01-25 14:15:00,milano,muscat,oman,2,153,sdi,,
voli disponibili,mxp,szx,2024-01-01 00:00:00,milano,shenzhen,cina,2,1,interpol,,
viaggiatori investigati,mxp,tlv,2024-01-04 18:20:00,milano,tel aviv,israele,2,95,tsc,,
viaggiatori entrati,cta,cmn,2024-01-13 21:50:00,catania,casablanca,marocco,7,121,interpol,,
voli con allarmi,vce,lgw,2024-02-19 09:30:00,venezia,londra,regno unito,4,,nsis,,
viaggiatori con allarmi,vce,ist,2024-01-18 08:10:00,venezia,istanbul,turchia,4,2,sdi,,
voli con allarmi,fco,cai,2024-02-19 17:55:00,roma,cairo,egitto,5,1,nsis,,
voli solo visualizzati,vce,lhr,2024-02-17 13:40:00,venezia,londra,regno unito,4,1,interpol,,
voli disponibili,peg,stn,2024-01-21 11:45:00,perugia,londra,regno unito,5,1,,,
viaggiatori con allarmi,nap,rak,2024-02-01 00:00:00,napoli,marrakech,marocco,6,22,,,
voli solo visualizzati,mxp,kwi,2024-01-02 08:25:00,milano,kuwait city,kuwait,2,1,sdi,,
viaggiatori investigati,mxp,cai,2024-02-25 14:45:00,milano,cairo,egitto,2,124,interpol,,
voli solo visualizzati,cia,stn,2024-02-25 08:05:00,roma,londra,regno unito,5,1,manuale,,
viaggiatori con allarmi,trn,brs,2024-02-18 07:05:00,torino,bristol,regno unito,1,1,sdi,,
esito negativo,fco,dss,2024-02-12 19:35:00,roma,dakar,senegal,5,72,,,
voli con allarmi,mxp,ltn,2024-01-12 17:30:00,milano,londra,regno unito,2,1,interpol,,
viaggiatori entrati,tsf,tia,2024-01-31 16:05:00,treviso,tirana,albania,4,185,interpol,,
esito negativo,psa,tia,2024-01-09 15:15:00,pisa,tirana,albania,8,33,manuale,,
viaggiatori con allarmi,tsf,tia,2024-01-22 09:00:00,treviso,tirana,albania,4,27,interpol,,
viaggiatori entrati,trn,man,2024-01-06 06:50:00,torino,manchester,regno unito,1,185,sdi,,
allarmi generati,blq,tia,2024-02-05 19:25:00,bologna,tirana,albania,8,39,interpol,,
voli disponibili,mxp,ist,2024-02-19 20:30:00,milano,istanbul,turchia,2,1,,,
voli investigati,mxp,tun,2024-02-04 07:45:00,milano,tunis,tunisia,2,1,nsis,,
viaggiatori investigati,fco,eze,2024-01-17 13:45:00,roma,buenos aires,argentina,5,329,sdi,,
voli solo visualizzati,mxp,yul,2024-01-13 20:30:00,milano,montreal,canada,2,1,manuale,,medio
viaggiatori entrati,bgy,cmn,2024-02-15 07:00:00,bergamo,casablanca,marocco,2,163,,,
voli con allarmi,fco,auh,2024-01-02 14:40:00,roma,abu dhabi,emirati arabi uniti,5,,manuale,,
voli investigati,fco,ewr,2024-01-10 17:40:00,roma,newark,stati uniti,5,1,tsc,,
