occorrenze,areoporto_arrivo,areoporto_partenza,anno_partenza,mese_partenza,data_partenza,descr_aereoporto_arr,descr_aereoporto_part,citta_arr,citta_partenza,codice_paese_arr,codice_paese_part,paese_arr,paese_part,zona,tot,motivo_allarme,note_operatore,flag_rischio,paese_partenza,codice_paese_arr__1,col_3zona,paese_arr__1,tot_voli
viaggiatori investigati,blq,lhr,2024,2,2024-02-04 15:20:00,guglielmo marconi,london heathrow,bologna,londra,ita,gbr,italia,regno unito,8,109.0,manuale,,,regno unito,ita,8,italia,109.0
viaggiatori investigati,vrn,znz,2024,2,2024-02-20 09:30:00,verona villafranca,kisauni,verona,zanzibar,ita,tza,italia,tanzania,4,348.0,sdi,,,tanzania,ita,4,italia,348.0
voli disponibili in ingresso al sistema,vce,lgw,2024,2,2024-02-22 19:55:00,venezia marco polo,london gatwick,venezia,londra,ita,gbr,italia,,4,1.0,manuale,,,regno unito,ita,4,italia,1.0
viaggiatori con allarmi,vce,stn,2024,1,2024-01-17 12:20:00,venezia marco polo,stansted,venezia,londra,ita,gbr,italia,regno unito,4,7.0,interpol,,,regno unito,ita,4,italia,7.0
viaggiatori con allarmi,fco,spx,2024,1,2024-01-25 11:15:00,fiumicino,sphinx international,roma,giza,fra,egy,italia,egitto,5,19.0,interpol,,,egitto,ita,5,italia,19.0
voli con allarmi,cia,tia,2024,,2024-01-01 12:15:00,ciampino,rinas mother teresa,roma,,ita,alb,italia,albania,5,1.0,nsis,,,albania,ita,5,italia,1.0
viaggiatori entrati nel sistema,mxp,dxb,2024,1,2024-01-12 15:55:00,malpensa,dubai international,milano,dubai,ita,are,italia,emirati arabi uniti,2,503.0,tsc,,,emirati arabi uniti,ita,2,italia,503.0
"voli solo visualizzati, ma non investigati",nap,ist,2024,2,2024-02-05 17:55:00,napoli capodichino,havalimani,napoli,istanbul,ita,tur,italia,turchia,6,,,,,turchia,ita,6,italia,
viaggiatori con allarmi,fco,saw,2024,2,2024-02-22 10:40:00,fiumicino,sabiha gokcen,roma,istanbul,ita,tur,italia,turchia,5,2.0,sdi,,,turchia,ita,5,italia,2.0
voli disponibili in ingresso al sistema,psa,tia,2024,2,2024-02-24 16:55:00,galileo galilei,rinas mother teresa,pisa,tirana,ita,alb,italia,albania,8,1.0,interpol,,,albania,ita,8,italia,1.0
allarmi rilevanti,vce,lhr,2024,2,2024-02-05 13:40:00,venezia marco polo,london heathrow,venezia,londra,ita,gbr,italia,regno unito,4,1.0,interpol,,,regno unito,ita,4,italia,1.0
allarmi generati da sdi/nsis,blq,cmn,2024,,2024-01-31 06:50:00,guglielmo marconi,mohamed v,bologna,casablanca,ita,mar,italia,marocco,8,44.0,,,,marocco,ita,8,italia,44.0
"voli solo visualizzati, ma non investigati",vce,stn,2024,1,2024-01-07 05:55:00,venezia marco polo,stansted,venezia,londra,ita,gbr,italia,regno unito,4,1.0,nsis,,,regno unito,ita,4,italia,1.0
allarmi chiusi,mxp,rmf,2024,2,2024-02-08 13:05:00,malpensa,marsa alam international,milano,marsa alam,ita,egy,italia,egitto,2,5.0,sdi,,medio,egitto,ita,2,italia,5.0
viaggiatori con allarmi,tsf,tia,2024,1,2024-01-30 15:25:00,treviso-sant'angelo,rinas mother teresa,treviso,tirana,ita,alb,italia,albania,4,20.0,tsc,,,albania,ita,4,italia,20.0
voli investigati (sdi/nsis - interpol - tsc),mxp,rak,2024,1,2024-01-21 10:10:00,malpensa,menara,milano,marrakech,ita,mar,italia,marocco,2,1.0,interpol,,,marocco,ita,2,italia,1.0
voli disponibili in ingresso al sistema,fco,lgw,2024,2,2024-02-26 14:30:00,fiumicino,london gatwick,roma,londra,ita,gbr,italia,regno unito,5,1.0,interpol,,,regno unito,ita,5,italia,1.0
voli con allarmi,bgy,tia,2024,2,2024-02-14 11:35:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,1.0,tsc,,,albania,ita,2,italia,1.0
allarmi generati da sdi/nsis,bgy,cai,2024,2,2024-02-10 07:50:00,orio al serio,cairo international,bergamo,cairo,ita,egy,italia,,2,48.0,tsc,,,egitto,ita,2,italia,48.0
viaggiatori entrati nel sistema,fco,atl,2024,1,,fiumicino,hartsfield-jackson atlanta international,roma,atlanta,ita,usa,italia,stati uniti,5,326.0,tsc,,,stati uniti,ita,5,italia,326.0
"voli solo visualizzati, ma non investigati",mxp,man,2024,1,2024-01-22 11:40:00,malpensa,manchester,milano,,ita,gbr,italia,regno unito,2,1.0,interpol,,,regno unito,ita,2,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),vce,lgw,2024,2,,venezia marco polo,london gatwick,venezia,londra,ita,gbr,italia,regno unito,4,1.0,,,,regno unito,ita,4,italia,1.0
allarmi chiusi,mxp,edi,2024,1,2024-01-14 11:30:00,malpensa,edinburgh,milano,edinburgh,ita,gbr,italia,regno unito,2,5.0,interpol,,,regno unito,ita,2,italia,5.0
"voli solo visualizzati, ma non investigati",fco,alg,2024,1,2024-01-08 05:25:00,fiumicino,houari boumediene,roma,algeri,ita,dza,italia,algeria,5,1.0,tsc,,,algeria,ita,5,italia,1.0
voli disponibili in ingresso al sistema,fco,auh,2024,2,2024-02-08 14:40:00,fiumicino,,roma,abu dhabi,ita,are,italia,emirati arabi uniti,5,1.0,sdi,,,emirati arabi uniti,ita,5,italia,1.0
viaggiatori entrati nel sistema,fco,pek,2024,1,2024-01-17 13:25:00,fiumicino,beijing capital international,roma,pechino,ita,chn,italia,cina,5,272.0,tsc,,,cina,ita,5,italia,272.0
